time,x,y,signal_dbm,link_quality,bitrate_mbit,bssid
1783338181.5,,,-68.00,42.00,130.00,32:c5:99:9d:b8:94
1783338184.5,,,-66.00,44.00,175.50,32:c5:99:9d:b8:94
1783338187.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
1783338190.5,,,-67.00,43.00,117.00,32:c5:99:9d:b8:94
1783338193.5,,,-67.00,43.00,130.00,32:c5:99:9d:b8:94
1783338196.5,,,-67.00,43.00,130.00,32:c5:99:9d:b8:94
1783338199.5,,,-68.00,42.00,175.50,32:c5:99:9d:b8:94
1783338202.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
1783338205.5,,,-68.00,42.00,130.00,32:c5:99:9d:b8:94
1783338208.5,,,-68.00,42.00,175.50,32:c5:99:9d:b8:94
1783338211.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
1783338214.5,,,-66.00,44.00,40.50,32:c5:99:9d:b8:94
1783338217.6,,,-67.00,43.00,13.00,32:c5:99:9d:b8:94
1783338220.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
1783338223.5,,,-66.00,44.00,87.70,32:c5:99:9d:b8:94
1783338226.5,,,-67.00,43.00,30.00,32:c5:99:9d:b8:94
1783338229.5,,,-67.00,43.00,14.40,32:c5:99:9d:b8:94
1783338232.5,,,-68.00,42.00,65.00,32:c5:99:9d:b8:94
1783338235.5,,,-67.00,43.00,14.40,32:c5:99:9d:b8:94
1783338238.5,,,-68.00,42.00,27.00,32:c5:99:9d:b8:94
1783338241.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338244.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
1783338247.5,,,-66.00,44.00,195.00,32:c5:99:9d:b8:94
1783338250.5,,,-67.00,43.00,130.00,32:c5:99:9d:b8:94
1783338253.5,,,-67.00,43.00,130.00,32:c5:99:9d:b8:94
1783338256.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338259.5,,,-66.00,44.00,195.00,32:c5:99:9d:b8:94
1783338262.5,,,-68.00,42.00,195.00,32:c5:99:9d:b8:94
1783338265.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338268.5,,,-66.00,44.00,195.00,32:c5:99:9d:b8:94
1783338271.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338274.5,,,-66.00,44.00,195.00,32:c5:99:9d:b8:94
1783338277.5,,,-67.00,43.00,130.00,32:c5:99:9d:b8:94
1783338280.5,,,-68.00,42.00,195.00,32:c5:99:9d:b8:94
1783338283.5,,,-68.00,42.00,195.00,32:c5:99:9d:b8:94
1783338286.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338289.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338292.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338295.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338298.5,,,-68.00,42.00,175.50,32:c5:99:9d:b8:94
1783338301.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338304.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338307.5,,,-68.00,42.00,175.50,32:c5:99:9d:b8:94
1783338310.5,,,-66.00,44.00,175.50,32:c5:99:9d:b8:94
1783338313.5,,,-68.00,42.00,130.00,32:c5:99:9d:b8:94
1783338316.5,,,-66.00,44.00,195.00,32:c5:99:9d:b8:94
1783338319.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
1783338322.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338325.5,,,-67.00,43.00,195.00,32:c5:99:9d:b8:94
1783338328.5,,,-67.00,43.00,175.50,32:c5:99:9d:b8:94
